code,year,region
110000,1980,北京市
110101,1980,东城区
110102,1980,西城区
110103,1980,崇文区
110104,1980,宣武区
110105,1980,朝阳区
110106,1980,丰台区
110107,1980,石景山区
110108,1980,海淀区
110109,1980,门头沟区
110110,1980,燕山区
110111,1986,房山区
110112,1997,通州区
110113,1998,顺义区
110114,1999,昌平区
110115,2001,大兴区
110116,2001,怀柔区
110117,2001,平谷区
110118,2015,密云区
110119,2015,延庆区
110201,1980,昌平县
110202,1980,顺义县
110203,1980,通县
110204,1980,大兴县
110205,1980,房山县
110206,1980,平谷县
110207,1980,怀柔县
110208,1980,密云县
110209,1980,延庆县
110221,1982,昌平县
110222,1982,顺义县
110223,1982,通县
110224,1982,大兴县
110225,1982,房山县
110226,1982,平谷县
110227,1982,怀柔县
110228,1982,密云县
110229,1982,延庆县
120000,1980,天津市
120101,1980,和平区
120102,1980,河东区
120103,1980,河西区
120104,1980,南开区
120105,1980,河北区
120106,1980,红桥区
120107,1980,塘沽区
120108,1980,汉沽区
120109,1980,大港区
120110,1980,东郊区
120110,1992,东丽区
120111,1980,西郊区
120111,1992,西青区
120112,1992,津南区
120112,1980,南郊区
120113,1992,北辰区
120113,1980,北郊区
120114,2000,武清区
120115,2001,宝坻区
120116,2009,滨海新区
120117,2015,宁河区
120118,2015,静海区
120119,2016,蓟州区
120201,1980,宁河县
120202,1980,武清县
120203,1980,静海县
120204,1980,宝坻县
120205,1980,蓟县
120221,1982,宁河县
120222,1982,武清县
120223,1982,静海县
120224,1982,宝坻县
120225,1982,蓟县
130000,1980,河北省
130100,1980,石家庄市
130102,1980,长安区
130103,1980,桥东区
130104,1980,桥西区
130105,1980,新华区
130106,1980,郊区
130107,1980,井陉矿区
130108,2001,裕华区
130109,2014,藁城区
130110,2014,鹿泉区
130111,2014,栾城区
130121,1983,井陉县
130122,1983,获鹿县
130123,1986,栾城县
130123,1993,正定县
130124,1993,栾城县
130124,1986,正定县
130125,1993,行唐县
130126,1993,灵寿县
130127,1993,高邑县
130128,1993,深泽县
130129,1993,赞皇县
130130,1993,无极县
130131,1993,平山县
130132,1993,元氏县
130133,1993,赵县
130181,1995,辛集市
130182,1995,藁城市
130183,1995,晋州市
130184,1995,新乐市
130185,1995,鹿泉市
130200,1980,唐山市
130202,1980,路南区
130203,1980,路北区
130204,1980,东矿区
130204,1995,古冶区
130205,1980,开平区
130206,1980,新区
130207,2002,丰南区
130208,2002,丰润区
130209,2012,曹妃甸区
130221,1983,丰润县
130222,1983,丰南县
130223,1983,滦县
130224,1983,滦南县
130225,1983,乐亭县
130226,1984,迁安县
130226,1983,玉田县
130227,1984,迁西县
130227,1983,唐海县
130228,1983,迁安县
130228,1984,遵化县
130229,1983,迁西县
130229,1984,玉田县
130230,1984,唐海县
130230,1983,遵化县
130281,1995,遵化市
130282,1995,丰南市
130283,1996,迁安市
130284,2018,滦州市
130300,1983,秦皇岛市
130302,1983,海港区
130303,1983,山海关区
130304,1983,北戴河区
130305,1983,郊区
130306,2015,抚宁区
130321,1986,青龙满族自治县
130321,1983,青龙县
130322,1983,昌黎县
130323,1983,抚宁县
130324,1983,卢龙县
130400,1983,邯郸市
130402,1983,邯山区
130403,1983,丛台区
130404,1983,复兴区
130405,1983,郊区
130406,1983,峰峰矿区
130407,2016,肥乡区
130408,2016,永年区
130421,1983,邯郸县
130422,1986,武安县
130423,1993,临漳县
130424,1993,成安县
130425,1993,大名县
130426,1993,涉县
130427,1993,磁县
130428,1993,肥乡县
130429,1993,永年县
130430,1993,丘县
130430,1996,邱县
130431,1993,鸡泽县
130432,1993,广平县
130433,1993,馆陶县
130434,1993,魏县
130435,1993,曲周县
130481,1995,武安市
130500,1983,邢台市
130502,1983,桥东区
130503,1983,桥西区
130504,1983,郊区
130521,1986,邢台县
130522,1993,临城县
130523,1993,内丘县
130524,1993,柏乡县
130525,1993,隆尧县
130526,1993,任县
130527,1993,南和县
130528,1993,宁晋县
130529,1993,巨鹿县
130530,1993,新河县
130531,1993,广宗县
130532,1993,平乡县
130533,1993,威县
130534,1993,清河县
130535,1993,临西县
130581,1995,南宫市
130582,1995,沙河市
130600,1983,保定市
130602,2015,竞秀区
130602,1983,新市区
130603,1983,北市区
130604,1983,南市区
130605,1983,郊区
130606,2015,莲池区
130607,2015,满城区
130608,2015,清苑区
130609,2015,徐水区
130621,1983,满城县
130622,1986,清苑县
130623,1994,涞水县
130624,1994,阜平县
130625,1994,徐水县
130626,1994,定兴县
130627,1994,唐县
130628,1994,高阳县
130629,1994,容城县
130630,1994,涞源县
130631,1994,望都县
130632,1994,安新县
130633,1994,易县
130634,1994,曲阳县
130635,1994,蠡县
130636,1994,顺平县
130637,1994,博野县
130638,1994,雄县
130681,1995,涿州市
130682,1995,定州市
130683,1995,安国市
130684,1995,高碑店市
130700,1983,张家口市
130702,1983,桥东区
130703,1983,桥西区
130704,1983,茶坊区
130705,1983,宣化区
130706,1983,下花园区
130707,1983,庞家堡区
130708,2016,万全区
130709,2016,崇礼区
130721,1983,宣化县
130722,1993,张北县
130723,1993,康保县
130724,1993,沽源县
130725,1993,尚义县
130726,1993,蔚县
130727,1993,阳原县
130728,1993,怀安县
130729,1993,万全县
130730,1993,怀来县
130731,1993,涿鹿县
130732,1993,赤城县
130733,1993,崇礼县
130800,1983,承德市
130802,1983,双桥区
130803,1983,双滦区
130804,1983,鹰手营子矿区
130821,1983,承德县
130822,1993,兴隆县
130823,1993,平泉县
130824,1993,滦平县
130825,1993,隆化县
130826,1993,丰宁满族自治县
130827,1993,宽城满族自治县
130828,1993,围场满族蒙古族自治县
130881,2017,平泉市
130900,1983,沧州市
130902,1983,新华区
130903,1983,运河区
130904,1983,郊区
130921,1983,沧县
130922,1986,青县
130923,1993,东光县
130924,1993,海兴县
130925,1993,盐山县
130926,1993,肃宁县
130927,1993,南皮县
130928,1993,吴桥县
130929,1993,献县
130930,1993,孟村回族自治县
130981,1995,泊头市
130982,1995,任丘市
130983,1995,黄骅市
130984,1995,河间市
131000,1988,廊坊市
131002,1988,安次区
131003,2000,广阳区
131021,1988,三河县
131022,1988,固安县
131023,1988,永清县
131024,1988,香河县
131025,1988,大城县
131026,1988,文安县
131027,1988,霸县
131028,1988,大厂回族自治县
131081,1995,霸州市
131082,1995,三河市
131100,1996,衡水市
131102,1996,桃城区
131103,2016,冀州区
131121,1996,枣强县
131122,1996,武邑县
131123,1996,武强县
131124,1996,饶阳县
131125,1996,安平县
131126,1996,故城县
131127,1996,景县
131128,1996,阜城县
131181,1996,冀州市
131182,1996,深州市
132100,1980,邯郸地区
132101,1980,邯郸市
132102,1980,邯山区
132103,1980,丛台区
132104,1980,复兴区
132105,1980,郊区
132106,1980,峰峰矿区
132121,1980,大名县
132122,1980,魏县
132123,1980,曲周县
132124,1980,丘县
132125,1980,鸡泽县
132126,1980,肥乡县
132127,1980,广平县
132128,1980,成安县
132129,1980,临漳县
132130,1980,磁县
132131,1980,武安县
132132,1980,涉县
132133,1980,永年县
132134,1980,邯郸县
132135,1980,馆陶县
132200,1980,邢台地区
132201,1986,南宫市
132201,1980,邢台市
132202,1980,桥东区
132202,1987,沙河市
132203,1980,桥西区
132204,1980,郊区
132221,1980,邢台县
132222,1980,沙河县
132223,1980,临城县
132224,1980,内丘县
132225,1980,柏乡县
132226,1980,隆尧县
132227,1980,任县
132228,1980,南和县
132229,1980,宁晋县
132230,1980,南宫县
132231,1980,巨鹿县
132232,1980,新河县
132233,1980,广宗县
132234,1980,平乡县
132235,1980,威县
132236,1980,清河县
132237,1980,临西县
132300,1980,石家庄地区
132301,1986,辛集市
132302,1989,藁城市
132303,1991,晋州市
132304,1992,新乐市
132321,1980,束鹿县
132322,1980,晋县
132323,1980,深泽县
132324,1980,无极县
132325,1980,藁城县
132326,1980,赵县
132327,1980,栾城县
132328,1980,正定县
132329,1980,新乐县
132330,1980,高邑县
132331,1980,元氏县
132332,1980,赞皇县
132333,1980,井陉县
132334,1980,获鹿县
132335,1980,平山县
132336,1980,灵寿县
132337,1980,行唐县
132400,1980,保定地区
132401,1980,保定市
132401,1986,定州市
132402,1980,新市区
132402,1986,涿州市
132403,1991,安国市
132403,1980,北市区
132404,1993,高碑店市
132404,1980,南市区
132405,1980,郊区
132421,1980,易县
132422,1980,满城县
132423,1980,徐水县
132424,1980,涞源县
132425,1980,定兴县
132426,1993,顺平县
132426,1980,完县
132427,1980,唐县
132428,1980,望都县
132429,1980,涞水县
132430,1980,涿县
132431,1980,清苑县
132432,1980,高阳县
132433,1980,安新县
132434,1980,雄县
132435,1980,容城县
132436,1980,新城县
132437,1980,曲阳县
132438,1980,阜平县
132439,1980,定县
132440,1980,安国县
132441,1980,博野县
132442,1980,蠡县
132500,1980,张家口地区
132501,1980,张家口市
132502,1980,桥东区
132503,1980,桥西区
132504,1980,茶坊区
132505,1980,宣化区
132506,1980,下花园区
132507,1980,庞家堡区
132521,1980,张北县
132522,1980,康保县
132523,1980,沽源县
132524,1980,尚义县
132525,1980,蔚县
132526,1980,阳原县
